,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,A,B
446,Break and Enter Commercial,2018,12,4,2,2,10XX DAVIE ST,West End,490467.1155,5458629.874
449,Break and Enter Commercial,2018,9,28,5,4,10XX DAVIE ST,West End,490488.9907,5458595.461
475,Break and Enter Commercial,2018,9,20,4,0,10XX DAVIE ST,West End,490528.6043,5458556.4
488,Break and Enter Commercial,2018,12,30,13,37,10XX DAVIE ST,West End,490546.3428,5458551.75
494,Break and Enter Commercial,2018,12,4,2,6,10XX DAVIE ST,West End,490552.0019,5458546.17
542,Break and Enter Commercial,2018,2,27,21,30,10XX DENMAN ST,West End,489825.3147,5459533.612
543,Break and Enter Commercial,2018,2,28,13,7,10XX DENMAN ST,West End,489825.3147,5459533.612
571,Break and Enter Commercial,2018,9,9,8,26,10XX DENMAN ST,West End,489880.7749,5459589.196
590,Break and Enter Commercial,2018,1,10,7,38,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.951
591,Break and Enter Commercial,2018,6,25,6,34,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.951
592,Break and Enter Commercial,2018,11,6,4,30,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.951
619,Break and Enter Commercial,2018,1,25,12,41,10XX E BROADWAY AVE,Mount Pleasant,493990.5245,5456637.968
629,Break and Enter Commercial,2018,3,14,9,25,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.807
632,Break and Enter Commercial,2018,5,1,18,1,10XX E CORDOVA ST,Strathcona,494024.671,5458795.833
683,Break and Enter Commercial,2018,12,13,4,2,10XX GILFORD ST,West End,489791.3672,5459726.489
727,Break and Enter Commercial,2018,6,6,6,30,10XX GRANVILLE ST,Central Business District,490989.548,5458450.711
762,Break and Enter Commercial,2018,4,19,0,5,10XX GRANVILLE ST,Central Business District,491020.1578,5458468.929
763,Break and Enter Commercial,2018,7,25,5,31,10XX GRANVILLE ST,Central Business District,491020.1578,5458468.929
773,Break and Enter Commercial,2018,3,30,6,6,10XX GRANVILLE ST,Central Business District,491026.7515,5458488.748
795,Break and Enter Commercial,2018,3,9,17,30,10XX GREAT NORTHERN WAY,Strathcona,494050.6484,5456956.19
832,Break and Enter Commercial,2018,12,22,0,1,10XX HAMILTON ST,Central Business District,491263.5322,5458201.39
848,Break and Enter Commercial,2018,11,29,10,2,10XX HAMILTON ST,Central Business District,491294.0009,5458245.451
874,Break and Enter Commercial,2018,6,23,6,0,10XX HARWOOD ST,West End,490411.2998,5458361.205
911,Break and Enter Commercial,2018,12,19,6,47,10XX HOMER ST,Central Business District,491198.5704,5458233.834
952,Break and Enter Commercial,2018,1,15,4,0,10XX HOMER ST,Central Business District,491255.8833,5458279.181
1012,Break and Enter Commercial,2018,4,3,17,0,10XX HOWE ST,Central Business District,490889.5958,5458482.858
1020,Break and Enter Commercial,2018,4,25,14,24,10XX HOWE ST,Central Business District,490911.7414,5458505.492
1058,Break and Enter Commercial,2018,1,10,5,1,10XX JERVIS ST,West End,490321.4744,5459033.607
1123,Break and Enter Commercial,2018,2,2,17,0,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
1141,Break and Enter Commercial,2018,6,28,4,21,10XX MAIN ST,Strathcona,492743.1954,5458088.01
1177,Break and Enter Commercial,2018,2,9,4,30,10XX MAINLAND ST,Central Business District,491274.7256,5458134.037
1192,Break and Enter Commercial,2018,11,12,4,56,10XX MAINLAND ST,Central Business District,491298.4643,5458171.831
1238,Break and Enter Commercial,2018,3,14,6,0,10XX MAINLAND ST,Central Business District,491324.5391,5458185.7
1253,Break and Enter Commercial,2018,4,24,16,0,10XX MAINLAND ST,Central Business District,491335.3681,5458196.931
1259,Break and Enter Commercial,2018,8,14,14,46,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.314
1289,Break and Enter Commercial,2018,3,4,12,5,10XX NELSON ST,West End,490766.889,5458782.464
1290,Break and Enter Commercial,2018,4,16,19,0,10XX NELSON ST,West End,490766.889,5458782.464
1351,Break and Enter Commercial,2018,7,26,0,0,10XX QUEBEC ST,Central Business District,492593.6078,5458043.686
1352,Break and Enter Commercial,2018,9,18,22,0,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.231
1371,Break and Enter Commercial,2018,7,23,2,53,10XX RICHARDS ST,Central Business District,491126.7883,5458305.487
1372,Break and Enter Commercial,2018,11,8,23,56,10XX RICHARDS ST,Central Business District,491126.7883,5458305.487
1409,Break and Enter Commercial,2018,11,15,2,46,10XX ROBSON ST,West End,490945.1763,5459083.573
1480,Break and Enter Commercial,2018,2,3,3,50,10XX ROBSON ST,West End,491032.721,5458984.206
1493,Break and Enter Commercial,2018,5,31,21,30,10XX ROBSON ST,West End,491049.8068,5458967.322
1500,Break and Enter Commercial,2018,10,8,4,12,10XX ROBSON ST,West End,491058.2284,5458958.999
1521,Break and Enter Commercial,2018,6,1,12,25,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
1525,Break and Enter Commercial,2018,7,22,18,42,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
1526,Break and Enter Commercial,2018,11,24,15,25,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
1527,Break and Enter Commercial,2018,12,24,16,38,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
1528,Break and Enter Commercial,2018,12,25,15,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
1543,Break and Enter Commercial,2018,3,22,2,57,10XX SEYMOUR ST,Central Business District,491047.2183,5458361.255
1596,Break and Enter Commercial,2018,10,28,20,31,10XX VERNON DR,Strathcona,494274.8317,5458072.287
1608,Break and Enter Commercial,2018,4,14,7,0,10XX W 11TH AVE,Fairview,490727.6552,5456533.801
1614,Break and Enter Commercial,2018,3,8,1,30,10XX W 13TH AVE,Fairview,490700.0641,5456333.19
1635,Break and Enter Commercial,2018,1,18,22,32,10XX W 49TH AVE,Oakridge,490640.0853,5452653.631
1636,Break and Enter Commercial,2018,10,9,19,0,10XX W 54TH AVE,Oakridge,490510.7065,5452099.37
1639,Break and Enter Commercial,2018,2,14,1,0,10XX W 59TH AVE,Marpole,490501.3021,5451609.458
1654,Break and Enter Commercial,2018,3,7,17,0,10XX W 7TH AVE,Fairview,490670.7991,5456948.105
1710,Break and Enter Commercial,2018,8,17,4,17,10XX W BROADWAY AVE,Fairview,490645.9489,5456744.871
1814,Break and Enter Commercial,2018,6,30,14,48,10XX W GEORGIA ST,Central Business District,491087.1035,5459191.555
1835,Break and Enter Commercial,2018,4,19,0,0,10XX W GEORGIA ST,Central Business District,491115.4504,5459163.477
1836,Break and Enter Commercial,2018,9,19,18,44,10XX W GEORGIA ST,Central Business District,491115.4504,5459163.477
1837,Break and Enter Commercial,2018,11,14,18,0,10XX W GEORGIA ST,Central Business District,491115.4504,5459163.477
2008,Break and Enter Commercial,2018,4,30,18,45,10XX W PENDER ST,Central Business District,491332.2968,5459374.751
2037,Break and Enter Commercial,2018,7,3,1,30,10XX W WATERFRONT RD,Central Business District,491405.5255,5459578.48
2103,Break and Enter Commercial,2018,9,18,23,0,11XX ALBERNI ST,West End,490986.55,5459207.894
2146,Break and Enter Commercial,2018,11,24,7,2,11XX BROUGHTON ST,West End,490122.5859,5459046.071
2205,Break and Enter Commercial,2018,10,3,23,4,11XX BURRARD ST,Central Business District,490718.6878,5458598.008
2233,Break and Enter Commercial,2018,7,14,8,15,11XX CLARK DR,Strathcona,494372.8452,5458011.846
2264,Break and Enter Commercial,2018,3,15,19,30,11XX COMMERCIAL DR,Grandview-Woodland,494945.3854,5457966.347
2278,Break and Enter Commercial,2018,1,21,5,33,11XX COMOX ST,West End,490528.1436,5458866.593
2285,Break and Enter Commercial,2018,6,9,5,53,11XX DAVIE ST,West End,490333.1503,5458766.303
2296,Break and Enter Commercial,2018,12,4,1,43,11XX DAVIE ST,West End,490359.3808,5458726.479
2329,Break and Enter Commercial,2018,8,1,0,10,11XX DAVIE ST,West End,490419.5195,5458678.186
2376,Break and Enter Commercial,2018,10,5,4,44,11XX DENMAN ST,West End,489747.6414,5459455.184
2384,Break and Enter Commercial,2018,8,15,12,4,11XX DENMAN ST,West End,489789.2651,5459497.069
2387,Break and Enter Commercial,2018,2,5,5,14,11XX DENMAN ST,West End,489792.3978,5459500.245
2388,Break and Enter Commercial,2018,8,31,5,35,11XX DENMAN ST,West End,489792.3978,5459500.245
2413,Break and Enter Commercial,2018,6,13,5,57,11XX E BROADWAY AVE,Mount Pleasant,494125.4478,5456626.948
2414,Break and Enter Commercial,2018,7,10,4,38,11XX E BROADWAY AVE,Mount Pleasant,494125.4478,5456626.948
2415,Break and Enter Commercial,2018,9,24,0,24,11XX E BROADWAY AVE,Mount Pleasant,494125.4478,5456626.948
2417,Break and Enter Commercial,2018,3,11,14,53,11XX E BROADWAY AVE,Mount Pleasant,494156.7966,5456635.657
2486,Break and Enter Commercial,2018,1,30,23,20,11XX E PENDER ST,Strathcona,494164.3333,5458594.338
2487,Break and Enter Commercial,2018,4,9,20,36,11XX E PENDER ST,Strathcona,494164.3333,5458594.338
2497,Break and Enter Commercial,2018,1,12,22,0,11XX FRANKLIN ST,Strathcona,494096.6985,5458838.619
2506,Break and Enter Commercial,2018,4,13,16,40,11XX FRANKLIN ST,Strathcona,494139.1409,5458847
2513,Break and Enter Commercial,2018,11,12,5,51,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
2516,Break and Enter Commercial,2018,2,14,21,20,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
2517,Break and Enter Commercial,2018,6,4,1,0,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
2518,Break and Enter Commercial,2018,11,5,6,8,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
2554,Break and Enter Commercial,2018,8,13,4,40,11XX GRANVILLE ST,Central Business District,490828.1896,5458287.541
2574,Break and Enter Commercial,2018,9,5,0,0,11XX GRANVILLE ST,Central Business District,490870.3092,5458329.885
2584,Break and Enter Commercial,2018,12,3,12,15,11XX GRANVILLE ST,Central Business District,490901.1772,5458347.95
2592,Break and Enter Commercial,2018,11,13,22,47,11XX GRANVILLE ST,Central Business District,490921.2962,5458381.142
2682,Break and Enter Commercial,2018,9,14,1,47,11XX HARO ST,West End,490826.7405,5459046.652
2683,Break and Enter Commercial,2018,10,29,18,21,11XX HARWOOD ST,West End,490189.1062,5458584.036
2711,Break and Enter Commercial,2018,12,10,12,13,11XX HARWOOD ST,West End,490269.2337,5458517.767
2747,Break and Enter Commercial,2018,2,8,23,30,11XX HOMER ST,Central Business District,491124.9361,5458146.429
2775,Break and Enter Commercial,2018,11,30,21,30,11XX HORNBY ST,Central Business District,490732.2809,5458460.846
2799,Break and Enter Commercial,2018,10,21,9,0,11XX HORNBY ST,Central Business District,490762.516,5458492.19
2802,Break and Enter Commercial,2018,1,1,0,0,11XX HORNBY ST,Central Business District,490768.8928,5458511.972
2824,Break and Enter Commercial,2018,3,1,20,40,11XX HOWE ST,Central Business District,490766.2424,5458357.691
2825,Break and Enter Commercial,2018,12,4,0,5,11XX HOWE ST,Central Business District,490766.2424,5458357.691
2834,Break and Enter Commercial,2018,10,7,0,0,11XX HOWE ST,Central Business District,490775.0164,5458366.579
2835,Break and Enter Commercial,2018,12,3,7,0,11XX HOWE ST,Central Business District,490775.0164,5458366.579
2862,Break and Enter Commercial,2018,8,24,9,9,11XX HOWE ST,Central Business District,490823.3469,5458428.553
2863,Break and Enter Commercial,2018,10,2,4,0,11XX HOWE ST,Central Business District,490823.3469,5458428.553
2888,Break and Enter Commercial,2018,4,15,3,9,11XX HOWE ST,Central Business District,490851.7894,5458444.349
2889,Break and Enter Commercial,2018,4,16,11,42,11XX HOWE ST,Central Business District,490851.7894,5458444.349
2891,Break and Enter Commercial,2018,11,7,9,5,11XX JERVIS ST,West End,490211.7551,5458935.678
2900,Break and Enter Commercial,2018,12,10,0,0,11XX JERVIS ST,West End,490304.9975,5459016.266
2905,Break and Enter Commercial,2018,2,4,4,0,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494083.4474,5455558.64
2937,Break and Enter Commercial,2018,3,31,18,36,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494171.0484,5455484.99
2946,Break and Enter Commercial,2018,12,17,7,30,11XX MAIN ST,Central Business District,492719.4036,5457952.584
2954,Break and Enter Commercial,2018,2,4,6,32,11XX MAIN ST,Central Business District,492719.7044,5457961.239
2955,Break and Enter Commercial,2018,3,13,9,47,11XX MAIN ST,Central Business District,492719.7044,5457961.239
2956,Break and Enter Commercial,2018,3,27,2,30,11XX MAIN ST,Central Business District,492719.7044,5457961.239
2959,Break and Enter Commercial,2018,2,12,20,53,11XX MAIN ST,Central Business District,492720.2567,5457977.107
2960,Break and Enter Commercial,2018,12,7,9,11,11XX MAIN ST,Central Business District,492720.2567,5457977.107
2961,Break and Enter Commercial,2018,12,8,2,0,11XX MAIN ST,Central Business District,492720.2567,5457977.107
2962,Break and Enter Commercial,2018,12,14,21,0,11XX MAIN ST,Central Business District,492720.2567,5457977.107
2986,Break and Enter Commercial,2018,7,13,18,0,11XX MAINLAND ST,Central Business District,491174.4426,5458032.915
2991,Break and Enter Commercial,2018,3,27,18,15,11XX MAINLAND ST,Central Business District,491177.0288,5458048.349
3042,Break and Enter Commercial,2018,11,6,10,8,11XX MARINASIDE CRES,Central Business District,491297.0431,5457829.638
3065,Break and Enter Commercial,2018,4,6,23,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.058
3066,Break and Enter Commercial,2018,10,4,7,25,11XX MELVILLE ST,Central Business District,491019.485,5459408.058
3104,Break and Enter Commercial,2018,10,5,8,10,11XX MELVILLE ST,Central Business District,491078.0856,5459364.084
3105,Break and Enter Commercial,2018,2,13,0,39,11XX MELVILLE ST,Central Business District,491105.7434,5459337.325
3161,Break and Enter Commercial,2018,3,31,1,58,11XX NELSON ST,West End,490664.9189,5458896.354
3162,Break and Enter Commercial,2018,7,12,0,0,11XX NELSON ST,West End,490664.9189,5458896.354
3163,Break and Enter Commercial,2018,9,14,12,0,11XX NELSON ST,West End,490664.9189,5458896.354
3164,Break and Enter Commercial,2018,11,3,9,43,11XX NICOLA ST,West End,490117.9707,5459196.467
3201,Break and Enter Commercial,2018,3,29,17,30,11XX PARKER ST,Strathcona,494212.987,5458133.165
3228,Break and Enter Commercial,2018,10,7,23,10,11XX QUEBEC ST,Central Business District,492601.828,5457998.095
3236,Break and Enter Commercial,2018,8,20,18,0,11XX RICHARDS ST,Central Business District,490979.6695,5458144.869
3246,Break and Enter Commercial,2018,11,17,20,53,11XX RICHARDS ST,Central Business District,491058.183,5458236.736
3254,Break and Enter Commercial,2018,2,26,3,29,11XX RICHARDS ST,Central Business District,491060.0307,5458238.592
3255,Break and Enter Commercial,2018,11,14,4,55,11XX RICHARDS ST,Central Business District,491060.0307,5458238.592
3274,Break and Enter Commercial,2018,7,29,4,20,11XX ROBSON ST,West End,490795.6407,5459232.699
3275,Break and Enter Commercial,2018,8,10,9,3,11XX ROBSON ST,West End,490795.6407,5459232.699
3291,Break and Enter Commercial,2018,5,18,16,0,11XX ROBSON ST,West End,490812.6871,5459202.749
3340,Break and Enter Commercial,2018,9,10,18,56,11XX ROBSON ST,West End,490859.7037,5459155.79
3384,Break and Enter Commercial,2018,9,5,21,15,11XX ROBSON ST,West End,490910.2436,5459118.235
3394,Break and Enter Commercial,2018,2,27,21,40,11XX ROSSLAND ST,Hastings-Sunrise,496691.9762,5458065.532
3407,Break and Enter Commercial,2018,3,16,1,15,11XX SEYMOUR ST,Central Business District,490914.1464,5458227.869
3412,Break and Enter Commercial,2018,1,4,0,0,11XX SEYMOUR ST,Central Business District,490942.7722,5458256.375
3422,Break and Enter Commercial,2018,6,8,10,0,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
3423,Break and Enter Commercial,2018,7,31,7,41,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
3434,Break and Enter Commercial,2018,7,6,17,15,11XX SEYMOUR ST,Central Business District,491002.2259,5458315.581
3442,Break and Enter Commercial,2018,10,1,22,12,11XX STATION ST,Strathcona,492835.0141,5457933.896
3445,Break and Enter Commercial,2018,11,19,9,33,11XX THE CASTINGS ST,Fairview,490473.3629,5457124.925
3452,Break and Enter Commercial,2018,6,5,17,0,11XX UNION ST,Strathcona,494100.6197,5458294.232
3477,Break and Enter Commercial,2018,5,8,21,0,11XX W 10TH AVE,Fairview,490546.7184,5456649.912
3517,Break and Enter Commercial,2018,3,8,14,38,11XX W 6TH AVE,Fairview,490508.7951,5457037.53
3566,Break and Enter Commercial,2018,7,7,17,15,11XX W BROADWAY AVE,Fairview,490483.8104,5456758.459
3570,Break and Enter Commercial,2018,2,3,6,20,11XX W BROADWAY AVE,Fairview,490486.8561,5456749.227
3579,Break and Enter Commercial,2018,7,28,21,30,11XX W BROADWAY AVE,Fairview,490546.5113,5456756.714
3600,Break and Enter Commercial,2018,2,18,6,38,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.115
3628,Break and Enter Commercial,2018,3,7,0,5,11XX W CORDOVA ST,Central Business District,491128.9874,5459617.419
3656,Break and Enter Commercial,2018,3,20,17,30,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.079
3698,Break and Enter Commercial,2018,9,22,4,10,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.62
3724,Break and Enter Commercial,2018,1,15,19,30,11XX W HASTINGS ST,Central Business District,491081.4483,5459569.169
3725,Break and Enter Commercial,2018,2,16,18,0,11XX W HASTINGS ST,Central Business District,491081.4483,5459569.169
3726,Break and Enter Commercial,2018,2,19,5,53,11XX W HASTINGS ST,Central Business District,491081.4483,5459569.169
3734,Break and Enter Commercial,2018,1,14,16,30,11XX W HASTINGS ST,Central Business District,491115.8189,5459544.494
3744,Break and Enter Commercial,2018,2,10,21,18,11XX W HASTINGS ST,Central Business District,491127.8585,5459549.283
3771,Break and Enter Commercial,2018,3,30,0,0,11XX W HASTINGS ST,Central Business District,491220.6789,5459509.512
3826,Break and Enter Commercial,2018,11,26,10,3,11XX W PENDER ST,Central Business District,491052.646,5459503.627
3848,Break and Enter Commercial,2018,1,18,3,30,11XX W PENDER ST,Central Business District,491126.3161,5459480.184
3882,Break and Enter Commercial,2018,6,8,23,49,11XX W PENDER ST,Central Business District,491151.3089,5459458.779
3900,Break and Enter Commercial,2018,1,16,20,0,11XX W PENDER ST,Central Business District,491171.8637,5459449.436
3915,Break and Enter Commercial,2018,5,12,6,58,11XX W PENDER ST,Central Business District,491208.8622,5459432.618
3916,Break and Enter Commercial,2018,5,19,17,0,11XX W PENDER ST,Central Business District,491208.8622,5459432.618
3918,Break and Enter Commercial,2018,1,8,5,0,11XX W PENDER ST,Central Business District,491217.0842,5459428.881
3923,Break and Enter Commercial,2018,5,31,9,25,11XX WILLIAM ST,Strathcona,494196.0232,5457932.313
3938,Break and Enter Commercial,2018,1,2,1,0,12XX BARCLAY ST,West End,490542.8022,5459179.703
3955,Break and Enter Commercial,2018,3,19,16,53,12XX BARCLAY ST,West End,490568.5327,5459141.933
3969,Break and Enter Commercial,2018,5,29,21,0,12XX BEACH AVE,West End,489999.8699,5458560.893
3971,Break and Enter Commercial,2018,4,12,10,35,12XX BEACH AVE,West End,490015.3204,5458537.277
4014,Break and Enter Commercial,2018,10,3,0,0,12XX BROUGHTON ST,West End,490080.7712,5459004.436
4018,Break and Enter Commercial,2018,10,20,4,25,12XX BURNABY ST,West End,490151.5668,5458788.482
4025,Break and Enter Commercial,2018,11,30,9,50,12XX BURNABY ST,West End,490160.1534,5458766.539
4036,Break and Enter Commercial,2018,5,6,3,30,12XX BURNABY ST,West End,490194.7626,5458730.955
4037,Break and Enter Commercial,2018,9,15,6,58,12XX BURNABY ST,West End,490194.7626,5458730.955
4038,Break and Enter Commercial,2018,9,28,5,2,12XX BURNABY ST,West End,490194.7626,5458730.955
4073,Break and Enter Commercial,2018,9,23,19,0,12XX BURRARD ST,Central Business District,490563.4424,5458441.606
4115,Break and Enter Commercial,2018,2,6,8,49,12XX BUTE ST,West End,490293.0814,5458777.109
4118,Break and Enter Commercial,2018,3,1,18,6,12XX CARDERO ST,West End,489880.1255,5459144.426
4126,Break and Enter Commercial,2018,9,21,0,0,12XX CARDERO ST,West End,489881.6102,5459133.048
4178,Break and Enter Commercial,2018,11,17,22,3,12XX COMMERCIAL DR,Grandview-Woodland,494944.556,5457898.206
4195,Break and Enter Commercial,2018,1,16,19,0,12XX COMOX ST,West End,490416.3105,5458977.818
4196,Break and Enter Commercial,2018,9,15,8,33,12XX COMOX ST,West End,490416.3105,5458977.818
4249,Break and Enter Commercial,2018,12,14,0,56,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.782
4252,Break and Enter Commercial,2018,3,14,22,0,12XX E 15TH AVE,Mount Pleasant,494272.8985,5456003.72
4271,Break and Enter Commercial,2018,7,25,0,30,12XX E 7TH AVE,Mount Pleasant,494230.8503,5456839.505
4280,Break and Enter Commercial,2018,4,17,10,28,12XX E 8TH AVE,Mount Pleasant,494249.0435,5456738.352
4285,Break and Enter Commercial,2018,2,23,19,47,12XX E 8TH AVE,Mount Pleasant,494273.4758,5456738.116
4286,Break and Enter Commercial,2018,3,2,21,29,12XX E 8TH AVE,Mount Pleasant,494273.4758,5456738.116
4294,Break and Enter Commercial,2018,7,26,12,9,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
4295,Break and Enter Commercial,2018,9,7,3,13,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
4296,Break and Enter Commercial,2018,9,10,2,0,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
4297,Break and Enter Commercial,2018,9,21,7,40,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
4298,Break and Enter Commercial,2018,12,10,20,0,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
4299,Break and Enter Commercial,2018,12,23,12,0,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
4344,Break and Enter Commercial,2018,10,29,7,45,12XX E HASTINGS ST,Strathcona,494376.1523,5458740.042
4369,Break and Enter Commercial,2018,4,2,0,0,12XX FRANCES ST,Strathcona,494324.7693,5458532.336
4383,Break and Enter Commercial,2018,4,8,0,58,12XX FRANKLIN ST,Strathcona,494360.0859,5458832.949
4423,Break and Enter Commercial,2018,7,11,20,47,12XX GRANVILLE ST,Central Business District,490794.8554,5458253.562
4454,Break and Enter Commercial,2018,3,29,5,18,12XX HAMILTON ST,Central Business District,491043.462,5457979.591
4469,Break and Enter Commercial,2018,4,3,4,3,12XX HARO ST,West End,490594.9442,5459266.271
4470,Break and Enter Commercial,2018,4,24,1,0,12XX HARO ST,West End,490594.9442,5459266.271
4471,Break and Enter Commercial,2018,5,6,2,25,12XX HARO ST,West End,490594.9442,5459266.271
4472,Break and Enter Commercial,2018,5,23,0,24,12XX HARO ST,West End,490594.9442,5459266.271
4476,Break and Enter Commercial,2018,1,20,22,0,12XX HARO ST,West End,490631.7927,5459230.557
4491,Break and Enter Commercial,2018,4,20,8,21,12XX HARO ST,West End,490649.1332,5459213.751
4504,Break and Enter Commercial,2018,12,13,21,38,12XX HARWOOD ST,West End,490097.7062,5458687.35
4554,Break and Enter Commercial,2018,6,24,14,0,12XX HOMER ST,Central Business District,490991.0723,5458012.855
4565,Break and Enter Commercial,2018,9,1,0,0,12XX HOMER ST,Central Business District,491003.1105,5458037.898
4606,Break and Enter Commercial,2018,9,7,21,37,12XX HOWE ST,Central Business District,490650.5904,5458254.623
4607,Break and Enter Commercial,2018,9,9,7,24,12XX HOWE ST,Central Business District,490650.5904,5458254.623
4608,Break and Enter Commercial,2018,11,11,19,29,12XX HOWE ST,Central Business District,490650.5904,5458254.623
4634,Break and Enter Commercial,2018,2,28,3,50,12XX HOWE ST,Central Business District,490681.5523,5458272.695
4644,Break and Enter Commercial,2018,2,24,5,30,12XX HOWE ST,Central Business District,490734.9863,5458326.22
4716,Break and Enter Commercial,2018,3,2,2,0,12XX MARINASIDE CRES,Central Business District,491201.6589,5457735.323
4741,Break and Enter Commercial,2018,4,15,20,38,12XX MELVILLE ST,Central Business District,490919.4805,5459504.976
4759,Break and Enter Commercial,2018,5,8,19,0,12XX MELVILLE ST,Central Business District,490957.1836,5459481.11
4774,Break and Enter Commercial,2018,4,11,0,34,12XX NELSON ST,West End,490450.328,5459111.515
4775,Break and Enter Commercial,2018,4,16,12,0,12XX NELSON ST,West End,490450.328,5459111.515
4776,Break and Enter Commercial,2018,4,21,22,42,12XX NELSON ST,West End,490450.328,5459111.515
4799,Break and Enter Commercial,2018,8,21,1,49,12XX ODLUM DR,Grandview-Woodland,494472.7335,5457880.35
4806,Break and Enter Commercial,2018,12,14,8,17,12XX PACIFIC BLVD,Central Business District,491046.9221,5457866.693
4822,Break and Enter Commercial,2018,11,8,18,0,12XX PACIFIC BLVD,Central Business District,491109.2102,5457915.896
4831,Break and Enter Commercial,2018,10,30,8,38,12XX PACIFIC ST,West End,489987.3712,5458641.262
4847,Break and Enter Commercial,2018,11,30,22,10,12XX PENDRELL ST,West End,490309.5435,5458928.133
